DPU 36, Thread 15, Cycles: 384
DPU 37, Thread 0, Cycles: 576
DPU 37, Thread 1, Cycles: 448
DPU 37, Thread 2, Cycles: 480
DPU 37, Thread 3, Cycles: 464
DPU 37, Thread 4, Cycles: 496
DPU 37, Thread 5, Cycles: 496
DPU 37, Thread 6, Cycles: 512
DPU 37, Thread 7, Cycles: 544
DPU 37, Thread 8, Cycles: 560
DPU 37, Thread 9, Cycles: 576
DPU 37, Thread 10, Cycles: 576
DPU 37, Thread 11, Cycles: 576
DPU 37, Thread 12, Cycles: 576
DPU 37, Thread 13, Cycles: 576
DPU 37, Thread 14, Cycles: 592
DPU 37, Thread 15, Cycles: 384
DPU 38, Thread 0, Cycles: 576
DPU 38, Thread 1, Cycles: 448
DPU 38, Thread 2, Cycles: 480
DPU 38, Thread 3, Cycles: 464
DPU 38, Thread 4, Cycles: 496
DPU 38, Thread 5, Cycles: 496
DPU 38, Thread 6, Cycles: 512
DPU 38, Thread 7, Cycles: 544
DPU 38, Thread 8, Cycles: 560
DPU 38, Thread 9, Cycles: 576
DPU 38, Thread 10, Cycles: 576
DPU 38, Thread 11, Cycles: 576
DPU 38, Thread 12, Cycles: 576
DPU 38, Thread 13, Cycles: 576
DPU 38, Thread 14, Cycles: 592
DPU 38, Thread 15, Cycles: 384
DPU 39, Thread 0, Cycles: 576
DPU 39, Thread 1, Cycles: 448
DPU 39, Thread 2, Cycles: 480
DPU 39, Thread 3, Cycles: 464
DPU 39, Thread 4, Cycles: 496
DPU 39, Thread 5, Cycles: 496
DPU 39, Thread 6, Cycles: 512
DPU 39, Thread 7, Cycles: 544
DPU 39, Thread 8, Cycles: 560
DPU 39, Thread 9, Cycles: 576
DPU 39, Thread 10, Cycles: 576
DPU 39, Thread 11, Cycles: 576
DPU 39, Thread 12, Cycles: 576
DPU 39, Thread 13, Cycles: 576
DPU 39, Thread 14, Cycles: 592
DPU 39, Thread 15, Cycles: 384
DPU 40, Thread 0, Cycles: 576
DPU 40, Thread 1, Cycles: 448
DPU 40, Thread 2, Cycles: 480
DPU 40, Thread 3, Cycles: 464
DPU 40, Thread 4, Cycles: 496
DPU 40, Thread 5, Cycles: 496
DPU 40, Thread 6, Cycles: 512
